58,-,0,ONF 324-5MP 4811,SINGLE COP40+E20,DHSB,RÊU SGG9 SO 18.10.03.B1,21.01.29.A1.1,-,1Z763,,,-,-
59,-,0,MTN 353-5MS 0680/009,SINGLE COP26 ECO,SAY,TRẮNG,19.04.23.W1,-,1Z289,,,-,-
60,-,0,MTN 353-5MS 0680/009,SINGLE COP26 ECO,SAY,VÀNG BEESWAX 14-0941TPG,20.12.05.A1,-,1Z297,,,-,-
61,-,0,MTN 353-5MS 0680/009,SINGLE COP26 ECO,SAY,ĐEN,19.04.25.F1,-,1Z348,,,-,-
62,-,0,MTN 353-5MS 0680/009,SINGLE COP26 ECO,SAY,ĐEN,19.04.25.F1,-,1Z349,,,-,-
63,-,0,MTN 353-5MS 0680/009,SINGLE COP26 ECO,SAY,XANH LÁ 13-0331 TPG,20.11.28.H1,-,1Z298,,,-,-
64,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHSB,XÁM ĐẬM BCVC 65 SO 21.01.19.F2,21.01.27.A1.1,-,1Z608,,,-,-
65,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHSB,XANH PHẨY ĐEN SO 21.02.21.K2,21.01.26.K1.FA2,-,1Z571,,,-,-
66,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHSB,XANH ĐEN BCFC12-49 SO 21.01.21.N1,21.01.27.C1.FA2,-,1Z572,,,-,-
67,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHTP,XÁM ĐẬM BCVC 65 SO 21.01.19.F2,21.01.27.A1.1,-,1Z608,,,-,-
68,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHTP,XANH ĐEN BCFC12-49 SO 21.01.21.N1,21.01.27.C1.FA2,-,1Z572,,,-,-
69,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHSB,XÁM BCVCC07 SO 21.01.18.K1,21.01.27.D1.1,-,1Z538,,,-,-
70,-,0,HTH 360-5MS 0093/026,SINGLE CVC40+E20,DHSB,XANH ĐEN BCFC12-49 SO 21.01.21.N1,21.01.27.C1.FA2,-,1Z661,,,-,-
